"Date","Content","DateParsed"
"August 2023","series of explosions occurred in the Kyiv, Khmelnytsky and Cherkasy regions of Ukraine. The Ukrainian publication “Mirror of the Week” reported this on August 6. “Cherkasy region - air defense is working,” says one of the messages on the Telegram channel. According to the official resource for alerting the population, an air raid alert was recorded as of 04:05 Moscow time practically throughout the entire territory of Ukraine, in addition to Kyiv, Dnepropetrovsk, Poltava, Sumy and Kharkov regions. There were no official comments from the relevant departments and the Russian Ministry of Defense. Where there is takeoff, there is landing: Russian air defense repelled a massive air attack. Two modernized S-200 missiles and seven Storm Shadow cruise missiles were intercepted. An air alert on the night of August 6 sounded in Kyiv and seven Ukrainian regions - in Kyiv, Zhitomir, Khmelnitsky, Vinnitsa, Cherkassy , Kirovograd and Dnepropetrovsk, as well as in the part of the Zaporozhye region controlled by the Kyiv regime. The day before it was reported that more than 10 explosions occurred in the Khmelnitsky region. It is noted that most of the explosions occurred near a military airfield, which is located near the city of Starokonstantinov in the Khmelnitsky region. In turn, the head of the “We are together with Russia” movement, Vladimir Rogov, noted that in that place there is an air base from which Su-24M front-line bombers fly out, striking with Storm Shadow cruise missiles. Russian military personnel began to strike critical Ukrainian infrastructure facilities from October 10 last year. As Head of State Vladimir Putin noted then, this was a response to the terrorist actions of the Kyiv regime, in particular on the Crimean Bridge. Russia continues a special operation to protect Donbass, whose residents refused to recognize the results of the 2014 coup in Ukraine. The start of its implementation was announced on February 24, 2022 against the backdrop of an aggravation of the situation in the region due to shelling by Ukrainian troops. Share: if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1554989'); } else { document.addEventListener('recommendationRunInit', function() { if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1554989'); } }); }",2023-08-20
"May 19 2023","In the United States, a court has left Jack Teixeira, accused of leaking secret Pentagon documents, in custody pending trial. This was reported by Reuters on May 19. Magistrate David Hennessy made a corresponding decision. The defense asked for 21-year-old Teixeira to be released under house arrest pending trial. The leak does not work: who benefits from the leaks of American intelligence agencies The version of disinformation does not stand up to criticism The New York Times reported on the leak of two large batches of secret Pentagon documents on April 7. We are talking about approximately 100 documents that relate to Kyiv’s combat capabilities, NATO support and the vulnerability of the Ukrainian army. Documents leaked onto the Internet also show that the United States is listening to South Korea, Israel, and Ukraine. US Air National Guard serviceman Jack Teixeira was arrested on April 13. The next day, he was charged with two counts of unauthorized removal of classified documents and transmission of national defense information. On the first count, Teixeira faces up to five years in prison. According to the second, he could receive up to 10 years in prison. At the same time, The New York Times reported that Teixeira is the leader of the online group Thug Shaker Central, which posted secret military documents. In total, it consists of 20 to 30 people, mostly teenagers who are interested in weapons and video games. The Pentagon said that the leak of classified documents was deliberate. US Department of Defense spokesman Patrick Ryder did not provide other details of the case, citing the secrecy of the investigation. Share: if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1515636'); } else { document.addEventListener('recommendationRunInit', function() { if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1515636'); } }); }",2023-05-19
"31 May 2023","Former special forces officer, retired colonel Anatoly Matviychuk, in a conversation with Izvestia on May 31, called the destruction by the Russian Aerospace Forces of the last ship of the Ukrainian Navy, Yuriy Olefirenko, one of the tasks of the Russian special operation. “What Russian President Vladimir said is continuing.” Putin - demilitarization of Ukraine. This ship did not pose any threat to us, the very fact that they completely completed the task in one of the directions. Now, if Ukraine wants to do something at sea, it will need to rent a fleet from its allies,” the expert said. “The work of the Grads is easy to recognize - they make the earth shake.” How the defense of Gorlovka determines the success of the Russian offensive in other directions The Medium Landing Ship of Project 773 “Yuri Olefirenko” was laid down in 1970 in Gdansk, Poland, and in 1971 it was accepted into the Military - USSR Navy. Since 1996, the ship has been in service with the Ukrainian Navy. Until 2016, the ship was called “Kirovograd.” The day before, the Russian Ministry of Defense reported that within 24 hours the Russian Armed Forces carried out strikes on central decision-making points, where terrorist attacks on Russian territory were planned under the leadership of specialists from Western intelligence services. On the same day, the head The Russian Ministry of Defense Sergei Shoigu said that the losses of the Ukrainian Armed Forces in May amounted to over 16 thousand military personnel. According to him, 16 aircraft, five helicopters, 466 unmanned aerial vehicles, more than 400 tanks and other armored fighting vehicles, 238 field artillery pieces and mortars were destroyed. The special operation to protect Donbass, the beginning of which Vladimir Putin announced on February 24, 2022, continues . The decision was made against the backdrop of an aggravation of the situation in the region due to shelling by the Ukrainian military. For more current videos and details about the situation in Donbass, watch the Izvestia TV channel. Share: if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1521391'); } else { document.addEventListener('recommendationRunInit', function() { if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1521391'); } }); }",2023-05-31
"23 May 2023","The countries of the European Union (EU) have supplied Ukraine with missiles and shells totaling €800 million this year. The head of European diplomacy, Josep Borrell, announced this on May 23. He noted that Kyiv received 220 thousand artillery shells and 1.3 thousand missiles. Supplies will continue, Borrell added, emphasizing that most EU countries have approved an increase in funding for the European Peace Fund by €3.5 billion. “This way we will be able to increase the capacity of the European Peace Fund, and not only to help Ukraine. About half of this money will go to other purposes,” Borrell continued. He pointed out that 24 countries in the bloc have joined the initiative to expand the production of 155 mm artillery shells. €1 billion has been allocated for this. In addition, the EU has already provided Ukraine with various types of assistance worth €65 billion, Borrell concluded. No runway: The United States will continue consultations on the supply of F-16s to Kiev Russia called the West's plans to send fighters to Ukraine a move towards escalation In mid-May, the head of European diplomacy proposed adding another €3.5 billion to the fund for financing military assistance to Ukraine. A fund created in 2021 , was intended as a way for the EU to help developing countries purchase military equipment. But an alliance of 27 participating countries reclassified it as a fund for arms supplies to Ukraine. Western countries increased military and financial support for Ukraine against the backdrop of Russia’s special operation to protect Donbass, which the Russian authorities announced on February 24, 2022 against the backdrop of the worsening situation in the region due to shelling by the Ukrainian military. Share: if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1517218'); } else { document.addEventListener('recommendationRunInit', function() { if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1517218'); } }); }",2023-05-23
"13 April 2023","The US authorities suspect that UN Secretary-General Antonio Guterres is too understanding of the position and interests of the Russian Federation, including on the issue of the grain deal. The BBC broadcasting corporation reported this on April 13, citing secret Pentagon documents leaked online. “Guterres emphasized his efforts to improve Russia’s export capabilities, even if Russian legal entities or individuals under sanctions are involved,” indicated in excerpts from leaked documents. It is noted that the documents also contain details from conversations between Guterres and his first deputy Amina Mohammed. In particular, in one of the conversations, he expressed concern about the call of the head of the European Commission Ursula von der Leyen to European countries to increase the number of weapons and ammunition produced for the needs of the Armed Forces of Ukraine (AFU). It is assumed that US intelligence services spied on the Secretary General and thanks to this they were able to obtain similar details of personal conversations. The leak does not work: who benefits from the leaks of American intelligence agencies The version of disinformation does not stand up to criticism The leak of two large batches of secret Pentagon documents became known on April 6. We are talking about almost 100 documents that relate to Kyiv’s combat capabilities, NATO support and the vulnerability of the Ukrainian army. It also follows from documents leaked online that the United States is listening in on South Korea, Israel, and Ukraine. Against this backdrop, several countries demanded an explanation from the United States. On April 8, the US Department of Justice began an investigation into the leak. According to a source from The Washington Post (WP), some of the documents were prepared in the winter for the Chairman of the Committee of the Chiefs of Staff of the US Armed Forces, Mark Milley, and other military personnel. At the same time, “hundreds, if not thousands” of military department employees had access to classified information. On April 10, Reuters, citing the Pentagon, reported that the leak could become the most destructive publication of US government information since the publication of documents on WikiLeaks in 2013. In its In turn, White House Strategic Communications Coordinator John Kirby said that the United States cannot yet answer the question of whether the leak of secret Pentagon documents has been eliminated or whether some other materials may appear on the Internet. He also stated that there is no single version of the leak of secret Pentagon documents. Fox News reported that the leak of secret documents could not have come from the Pentagon, but from the American Central Intelligence Agency (CIA) or the National Security Agency (NSA). Share: if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1497948'); } else { document.addEventListener('recommendationRunInit', function() { if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1497948'); } }); }",2023-04-13
"18 February 2023","American journalist Seymour Hersh said on February 16 that he does not consider Russia’s special operation to protect Donbass to be unfounded. He said this in an interview with the Consortiumnews portal. “The West has staked a lot on its war against Russia.” Lavrov summed up the activities of Russian diplomacy in 2022. He noted that “there were factors” behind Russian leader Vladimir Putin’s decision to launch a special operation. “Definitely, in his opinion, there was a certain justification for this. And it (the special operation - Ed.) did not occur without justification. The expansion of NATO, the idea that Ukraine would join NATO - this caused concern,” the journalist said. In addition, he recalled that the United States installed missiles on the border with China, which Washington calls “defensive.” According to Hersh, they can easily be “converted into missiles that can destroy Moscow within 7-8 minutes.” In this regard, the journalist concluded that the United States “also showed a lot of aggression.” Hersh also called the United States the most aggressive country in the world at the moment. Earlier, on February 12, the former Prime Minister of Italy, leader of the Forward Italy! Silvio Berlusconi said that it would be enough for Ukrainian President Vladimir Zelensky to stop attacks on the Donbass republics so as not to force Russia to carry out a special operation. On December 19, Russian Foreign Minister Sergei Lavrov said that a special military operation was absolutely necessary to thwart plans to transform Ukraine to ""anti-Russia"". According to him, the West's reaction reflects the understanding that Moscow's actions ensured the failure of their geopolitical games and plans. Prior to this, on October 8, the former US President indicated that the reason for the start of the Russian special military operation in Ukraine was precisely the rhetoric of the government of the current head of the American state . At the same time, he announced the need for the United States to demand immediate negotiations on a peaceful end to the conflict in order to avoid its escalation into a third world war. The special operation to protect Donbass, the start of which was announced by Russian President Vladimir Putin on February 24, continues. The decision was made against the backdrop of an aggravation of the situation in the region due to shelling by the Ukrainian military. For more current videos and details about the situation in Donbass, watch the Izvestia TV channel. Share: if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1472135'); } else { document.addEventListener('recommendationRunInit', function() { if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1472135'); } }); }",2023-02-18
"29 April 2023","Sooner or later, Kyiv will be left without Washington's support. This forecast was shared by retired US Marine Corps intelligence officer Scott Ritter on the Judging Freedom YouTube channel. “When we leave, and we will definitely leave, the Ukrainians will be left on their own, with nothing,” he said. According to the expert, it is This is how the American authorities treated Afghanistan: without receiving the desired results, Washington left the republic alone with unresolved internal problems. However, the United States did not have to deal with the consequences of this failed policy. Raise supplies: will Kyiv receive weapons for a counter-offensive? The 11th meeting of the contact group on Ukraine was held in Germany at the American Ramstein base. Earlier, on April 25, American human rights activist Ajamu Baraka said that the administration of US President Joe Biden was preparing for an Afghan scenario in Ukraine. Thus, he commented on the warning addressed to Kyiv against excessive military ambition. As Politico emphasized, former Afghan leader Ashraf Ghani received a similar message in 2021 shortly before the fall of Kabul. The day before, The New York Times wrote that if the offensive of the Ukrainian Armed Forces (AFU) fails, Western support for Ukraine may weaken, and Kyiv may face growing pressure to enter into serious negotiations to end or freeze the conflict. Prior to this, on April 22, the Financial Times reported that Ukrainian leader Vladimir Zelensky fears the Ukrainian Armed Forces will fail in an attempted offensive. According to senior officials in Kyiv, the country's leadership is concerned that such a failure could prompt Western allies to push the country to begin negotiations with Moscow. Western countries have increased military and financial support for Ukraine amid a Russian special operation to protect the Donbass, which Russian President Vladimir Putin announced on 24 February 2022 amid the worsening situation in the region due to Ukrainian shelling. Share: if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1505958'); } else { document.addEventListener('recommendationRunInit', function() { if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1505958'); } }); }",2023-04-29
"31 May 2023","Ukraine ordered 300 reconnaissance unmanned aerial vehicles (UAVs) of the Vector model from the German company Quantum Systems, and the US Marine Corps entered into the same contract for 100 drones. The Handelsblatt newspaper reported this on Wednesday, May 31. The publication clarified that the amount of Kyiv’s order is estimated at €57 million, and Washington’s at $20 million. It is planned to deliver the drones to Ukraine before the beginning of next year. The supply is financed by the German government. In turn, as the newspaper reports, US special forces are using UAVs to study terrain at night from a rubber boat, and the Pentagon has been testing them over the past few months. “Berlin is pumping up the Kiev regime with deadly weapons systems” Russian Ambassador to Germany Sergei Nechaev - about the supply of tanks, aircraft to Ukraine and the concealment of inconvenient facts about the explosions on the Nord Streams Back on May 14, the Main Intelligence Directorate (GUR) of Ukraine spoke about the transfer of more than a hundred German UAV. Then the talk was about supplying Kyiv with 105 Vector drones for reconnaissance needs. It was noted that this will be the second batch of drones of this model for the Armed Forces of Ukraine (AFU), financed by the German government. In August 2022, 33 German Vector drones were already transferred to Kyiv. Earlier, on May 29, Ukrainian Defense Minister Alexey Reznikov said that the country had received 60 Western-made tanks. According to him, the coalition for the transfer of Leopard combat vehicles includes Germany, Poland, the Netherlands, Sweden, Portugal, Spain and Canada. Western countries have increased military and financial support for Kyiv against the backdrop of the Russian special operation to protect Donbass, the decision on which was made after the situation worsened in region due to shelling by the Ukrainian military. Share: if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1521606'); } else { document.addEventListener('recommendationRunInit', function() { if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1521606'); } }); }",2023-05-31
"25 October 2023","The US financial oligarchy is deliberately prolonging the conflict in Ukraine in order to maintain access to the American state budget. This opinion was expressed by Edward Karolchuk, a columnist for the Polish magazine Mysl Polska, on October 23. “Negotiations on any solution to the conflict in Ukraine mean the end of good deals and pumping out the state budget with financial capital,” the article says. According to the Polish columnist, United States producers have made the Ukrainian state arms sales center to circumvent export restrictions, and also took advantage of this conflict to “pump” finances from the US government budget to various private companies in order to support think tanks and business institutions that are associated with leading corporations and the military-industrial complex. It is noted that the profits of such American defense companies as Lockheed Martin, Raytheon Technologies and others are especially growing. Karolchuk drew attention to the fact that Russians and Ukrainians are killing each other over the question of whether the United States will remain the “leading imperialist capitalist economy” or American corporations will be forced to share their profits with China. “To date, more than $130 billion has been allocated to help Ukraine, excluding assistance from EU countries,” the observer emphasized. Not a priority: the United States began to lose interest in Ukraine Against the backdrop of the Palestinian-Israeli conflict, Washington reported that the possibilities of supplying weapons to Kyiv are not unlimited. On October 24, former US President Donald Trump named the approaches of his successor Joe Biden to the aggravation of the Palestinian-Israeli conflict and the crisis around Ukraine ""the madness of a warmonger."" Trump drew attention to the fact that Biden spoke to the citizens of the country with the words that if they want to support Israel, then it is necessary to allocate “an unlimited check for the proxy war in Ukraine.” Earlier, on October 20, American President Joe Biden asked Congress The United States is providing additional military and other assistance to Ukraine and Israel in the amount of about $106 billion, of which more than $60 billion is intended for Kyiv, $14.3 billion for strengthening the Israel Defense Forces (IDF), $10 billion for humanitarian assistance to the Palestinian population, the rest - for other national security purposes. Later, on October 21, Trump said that the United States was moving towards a third world war due to the incompetent policies of the current American leader. He noted that Biden “has no idea what’s going on.” On October 9, Ukrainian Foreign Minister Dmitry Kuleba expressed the opinion that relations between Washington and Kyiv will become more complicated as the American presidential elections approach. He also accused Trump supporters of the fact that the US Congress did not approve a new aid package for Ukraine. Western countries increased military and financial support for Kyiv against the background of the Russian special operation to protect Donbass, the start of which was announced on February 24, 2022 by Russian President Vladimir Putin after the escalation situation in the region due to shelling by the Ukrainian military. Share: if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1594692'); } else { document.addEventListener('recommendationRunInit', function() { if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1594692'); } }); }",2023-10-25
"March 2023","The Ukrainian authorities are trying to organize a telephone conversation between the country's President Vladimir Zelensky and the Speaker of the US House of Representatives, Republican Kevin McCarthy. The online publication Punchbowl News reported this on March 1, citing a source. Line of contact: Russian troops are pushing back the enemy near Seversk VFU are losing bridgeheads suitable for organizing a spring offensive, experts say “The Ukrainian government is trying to organize a telephone call between Speaker Kevin McCarthy and Ukrainian President Vladimir Zelensky,” the message states. The date of the telephone call has not yet been announced. . The topics that are planned to be discussed during these negotiations are also still unknown. At the same time, the publication recalls that some Republicans in the House of Representatives are opposed to continuing to provide military assistance to Ukraine. In addition, a member of the US House of Representatives from the state of Georgia, Marjorie Taylor Greene, pointed out that the current US administration is waging a “proxy war” with Russia in Ukraine and called for an audit of the funds allocated to Kiev. Earlier, on February 25, CNN reported that Zelensky intends to send the United States a list that will indicate the weapons that Kyiv would like to receive. It is alleged that the Ukrainian leader spoke about his plans to send this list to Washington at a meeting with Chairman of the House Foreign Affairs Committee Michael McCaul and four other members of the House of Representatives. Prior to this, on February 20, Zelensky said that the United States and Ukraine were working together over the supply of long-range weapons and other weapons to Kiev, which were not previously included in military assistance packages. Western countries have increased military and financial support for Ukraine against the backdrop of Russia’s special operation to protect Donbass, which the Russian authorities announced against the backdrop of an aggravation of the situation in the region due to Ukrainian shelling . Share: if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1477152'); } else { document.addEventListener('recommendationRunInit', function() { if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1477152'); } }); }",2023-03-20
"17 June 2023","Russian President Vladimir Putin confidently and with dignity answered all, including provoking and controversial, questions at the plenary session of the St. Petersburg International Economic Forum (SPIEF). This opinion was shared on Friday, June 16, by the acting governor of the Kherson region, Vladimir Saldo. “A worthy answer to semi-provocative questions. A worthy answer from a worthy man who knows what the word “Russia” means for him and in general for all of us,” he said. Saldo added that the president’s tone conveyed confidence and firmness, which only emphasized the “power and strength” of the country he manages. “Russia has been and will be involved in the global economy” Vladimir Putin at SPIEF proposed new measures to support business and citizens, and also touched upon the most pressing global agenda. Earlier that day, Vladimir Putin spoke at the SPIEF plenary session. The head of state touched upon the development of the Russian economy, interaction with foreign companies in the Russian market and the progress of the special operation. Thus, the Russian President announced large losses for the Armed Forces of Ukraine (AFU) during the counter-offensive, compared to the Russian army, and noted that at the time of its The Ukrainian Armed Forces' speeches tried to break through the Russian positions on the Vremevsky salient. Also, as part of his speech, Putin said that Russia had destroyed about 30% of the armored vehicles supplied to Ukraine by the West. The head of state clarified that the Russian Armed Forces destroyed 218 tanks and 418 armored vehicles. In addition, the president pointed to NATO’s increasing involvement in the conflict in Ukraine. The special operation to protect Donbass, the beginning of which Putin announced on February 24, 2022, continues. The decision was made against the backdrop of an aggravation of the situation in the region due to shelling by the Ukrainian military. Share: if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1530145'); } else { document.addEventListener('recommendationRunInit', function() { if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1530145'); } }); }",2023-06-17
"December 2023","Approval by the US Congress of an aid package for Ukraine would encourage European countries to follow suit. British Foreign Minister David Cameron said this on December 7 at the Aspen Security forum, addressing Congress, Bloomberg reports. “If you vote for this package, no matter how you do it and no matter what you link it to in Congress, it will give a huge a boost to these European countries,"" he said during his speech. Cameron stressed that this vote will have a huge impact on Congress because it will allow countries that want to support Ukraine to set an example for other countries next year. ""European security is so does American security, and we must remain united on this issue, we must transfer this money to the Ukrainians, we must support them <...>,” Cameron said. Congressional dissonance: who in the United States is stopping support for Kyiv And what exactly Republicans and Democrats cannot share Earlier, on December 6, the US Senate at its next meeting did not approve the bill to provide the next aid package to Ukraine. American political scientist Malek Dudakov noted the next day, December 7, that the US Republican Party is using the issue of additional assistance to Ukraine as a lever of pressure on the Democrats. He suggested that the discussion process could drag on until mid-January. The Americanist believes that assistance to Kyiv will be in a smaller volume than requested by the administration of US President Joe Biden, therefore, Republicans and Democrats will take a long time to reach a compromise. Moreover, also on that day, December 6, due to the uncertainty on this issue, Biden spoke with a special appeal, saying that Congress must urgently approve a request for funds for Ukraine. At the same time, Pentagon head Lloyd Austin indicated that Washington is committed to long-term military support for Kyiv even in the face of a delay in the allocation of new assistance. Austin stressed that he expects Congress to quickly approve the administration's request for additional assistance to Kyiv for $50 billion through the US industrial base. Western countries have increased military and financial support for Ukraine against the background of the Russian special operation to protect Donbass, which began on February 24, 2022 due to the escalation situation in the region as a result of Ukrainian shelling. At the same time, recently there have been increasingly frequent statements in the West about the need to reduce support for Ukraine. Share: if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1617228'); } else { document.addEventListener('recommendationRunInit', function() { if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1617228'); } }); }",2023-12-20
"April 2023","In the area of biological laboratories controlled by the United States, there is a risk of the spread of dangerous pathogens, said the head of the radiation, chemical and biological defense forces (RCBZ) of the Russian Armed Forces, Lieutenant General Igor Kirillov on Friday, April 7, at a briefing on the analysis of documents relating to military biological activities Washington. According to him, the United States Department of Energy, like the Pentagon, organizes and supervises military-biological activities. Moreover, he pointed out that Washington has resumed the construction of a biological laboratory in Ukraine, which had previously been suspended due to a special operation. “It should be noted that the United States has never clearly stated its obligations in the field of safety of research in biological laboratories under its control. The non-transparency of their activities creates a risk of the spread of dangerous pathogens in the areas where biological objects are located,” emphasized the head of the RCBZ. Kirillov also called the US Department of Energy’s funding of the project “Virtual Environment for Research in the Field of Preparation for Biothreats” a dual-use action that conceals a contribution to the creation of biological weapons. At the same time, he noted the involvement of American biological laboratories in the spread of Covid-19. It was the US Department of Energy that published a statement that the virus was of laboratory origin. “A logical question arises: what does the US Department of Energy have to do with the fight against biological threats and [why] is it implementing projects that have dual-use characteristics,” noted the lieutenant general. This development of coronavirus infection strains raises questions among most scientists. Kirillov expressed suspicion that someone is purposefully helping to “strengthen” the pathogenic properties of the virus,” thereby fueling the pandemic without letting it end. Speaking about suspicious vaccines against coronavirus, Kirillov noted the Western Pfizer, which distributed medicines with real risks of pathologies. from the cardiovascular system. With the active use of this vaccine, in 2021, the percentage of patients with myocarditis and pericarditis in the United States has increased. Kirillov drew an analogy with Ukrainian military personnel, on whom the United States tested highly toxic drugs, while the side effects were not fully studied. Pathogenic engineering: US bio-laboratories continue to operate in Ukraine Kyiv has the scientific and technical potential to stage a provocation using dangerous viruses. On April 5, State Duma Speaker Vyacheslav Volodin said that the final report on US bio-laboratories in Ukraine will be heard on April 11. Earlier, on March 22, Deputy Speaker of the State Duma Irina Yarovaya noted that the investigation into the activities of American biological laboratories in Ukraine confirmed that under their guise there were NATO military facilities in the country, RT reports. She emphasized that the creation of military biological laboratories made it possible for Washington to act in circumvention of international agreements. The composition of the commission the biological laboratories include 14 deputies and 14 senators. Share: if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1495058'); } else { document.addEventListener('recommendationRunInit', function() { if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1495058'); } }); }",2023-04-20
"31 January 2024","The explosion occurred in Krivoy Rog, Dnepropetrovsk region, Ukrainian Channel 24 reported on Wednesday, January 31. At the moment, an air raid alert has been declared in the Dnepropetrovsk region and four other regions of Ukraine. There are no other details. The Russian Ministry of Defense did not comment on this information. Stocks without strength: what was the purpose of attacks on targets in Ukraine? Russian troops are undermining the ability of the Air Force to conduct active combat operations next year, experts believe. Earlier on this day, explosions in Ukraine occurred in Kharkov, Poltava and Snigirevka (Nikolaev region). In addition, an air raid alert was announced in the Poltava, Cherkassy, Sumy, Dnepropetrovsk, Kirovograd and Kharkov regions. On January 30, the mayor of the city, Igor Terekhov, announced an explosion in Kharkov amid an air raid alert. Explosions were also heard in the Kyiv region. Russian troops in October 2022 began striking military command and control facilities and related energy and communications facilities in Ukraine. As Russian President Vladimir Putin explained, this was a response to the terrorist actions of the Kyiv regime, in particular on the Crimean Bridge. The special operation to protect Donbass, the beginning of which Putin announced on February 24, 2022, continues. The decision to hold it was made against the backdrop of an aggravation of the situation in the region due to shelling by the Armed Forces of Ukraine. Share: if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1642845'); } else { document.addEventListener('recommendationRunInit', function() { if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1642845'); } }); }",2024-01-31
"May 6 2023","Several explosions were heard in Krivoy Rog, Dnepropetrovsk region of Ukraine. This was evidenced by data from the online map of the country’s Ministry of Digital Transformation on May 6. According to the online map, an air raid alert in the region was announced at 10:26. The Ukrainian publication Obshchestvennoe reports on its Telegram channel that an air raid alert has been declared in the region. “The sounds of an explosion can be heard in Krivoy Rog, correspondents of Obshchestvennoye report,” the message states. Stop in a moment: new attacks have been launched on the infrastructure of Ukraine. The targets of the attacks were energy facilities that ensure the operation of transport and the military industry. Klymenko Time reported on May 5 that explosions were heard in the Sumy region. An air raid alert was declared in the region. Earlier that day, an air alert was announced in Kyiv. It also became known about explosions in the area of Kramatorsk and Slavyansk. Russian troops began striking critical targets in Ukraine on October 10, 2022. As Russian President Vladimir Putin explained then, this was a response to the terrorist actions of the Kyiv regime, in particular on the Crimean Bridge. Since February 24, 2022, Russia has been conducting a special operation to protect Donbass, whose residents refused to recognize the results of the 2014 coup in Ukraine. The decision to hold it was made against the backdrop of an aggravation of the situation in the region due to shelling by Ukrainian troops. Share: if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1509263'); } else { document.addEventListener('recommendationRunInit', function() { if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1509263'); } }); }",2023-05-06
"13 July 2023","Most of those present at the NATO summit in Vilnius were discouraged by the consumerist attitude of Ukrainian President Vladimir Zelensky, said Anna van Densky, a member of the Brussels International Press Association, in her YouTube video on July 12. As the journalist noted, the expressed dissatisfaction with the alliance gave rise to talk that the national the leader, and not third countries or organizations, must bear responsibility for his people. “I think he has fewer friends, even if they haven’t said so directly,” said Anna van Densky. She also called the Ukrainian president a “capricious prima donna.” and pointed out that such behavior only alienates the Kiev regime from Western countries. Advice and dislike: how the first meeting in the Ukraine-NATO format ended and what security guarantees the G7 countries offered Kyiv. The day before, the head of the British Ministry of Defense Ben Wallace commented on Zelensky’s criticism of the alliance due to the lack of a specific time frame for Kyiv’s membership in NATO and called on Ukraine to thank the West instead of criticism for arms supplies. The US delegation was also angry because of the words of the Ukrainian leader regarding the uncertain language about inviting the country to NATO. It is specified that members of the US delegation “were furious.” Some NATO politicians said that Zelensky was thus trying to put pressure on the alliance members and gather more allies. On July 11, at the first meeting, members of the military-political bloc published a communiqué in which the allies decided that they would invite Ukraine when they reached unanimity on this issue, and the conditions will become suitable. Thus, the summit document does not reflect either the schedule or the date of Kyiv’s entry into the alliance. On September 30, 2022, Ukraine submitted an application to join NATO on an accelerated basis. Then Vladimir Zelensky said that in fact Ukraine is already in NATO and meets the standards of the alliance. Share: if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1543493'); } else { document.addEventListener('recommendationRunInit', function() { if (typeof window.recommendationRun !== 'undefined') { recommendationRun('recommendation-block-1543493'); } }); }",2023-07-13
